Ground truth,Model Predictions
26.9,14.493986129760742
25.870001,13.91148567199707
26.809999,13.526223182678223
26.309999,14.505366325378418
27.1,13.744959831237793
27.01,14.410340309143066
27.4,14.175792694091797
27.27,14.605069160461426
28.290001,14.177230834960938
30.01,14.955655097961426
31.41,15.889887809753418
31.91,16.71280860900879
31.6,16.72266387939453
31.84,16.38747787475586
33.049999,16.4888916015625
32.060001,17.226051330566406
33.099998,16.4471435546875
32.23,17.19329261779785
31.360001,16.6289119720459
31.1,16.303911209106445
30.77,15.941518783569336
31.200001,16.109451293945312
31.469999,16.339019775390625
31.73,16.546485900878906
32.169998,16.773170471191406
31.469999,16.957300186157227
30.969999,16.44150161743164
30.809999,16.059080123901367
30.719999,15.97222900390625
28.25,16.039371490478516
28.09,14.400812149047852
29.110001,14.585807800292969
29.0,15.40109920501709
28.76,15.444507598876953
28.75,14.99756145477295
28.450001,15.142513275146484
29.34,15.007414817810059
26.85,15.438380241394043
23.709999,13.677836418151855
23.15,11.936535835266113
21.709999,11.846792221069336
20.879999,11.401415824890137
20.040001,10.913275718688965
21.09,10.489516258239746
21.92,11.533337593078613
20.719999,11.825675964355469
20.719999,10.966120719909668
21.01,10.808151245117188
21.809999,11.0691499710083
21.6,11.577868461608887
20.379999,11.124438285827637
21.200001,10.435038566589355
19.870001,11.053845405578613
19.049999,10.216998100280762
20.01,9.769680976867676
19.16,10.3676118850708
19.440001,10.119359970092773
19.440001,10.156935691833496
19.41,10.121491432189941
19.15,10.307915687561035
19.34,9.869026184082031
19.1,10.10830307006836
19.09,9.907946586608887
18.059999,9.924482345581055
17.73,9.230256080627441
18.58,9.170899391174316
18.959999,9.739675521850586
18.98,10.035992622375488
18.809999,9.905501365661621
19.43,9.76866340637207
20.93,10.24421215057373
20.709999,11.10554313659668
22.0,10.760180473327637
21.52,11.52815055847168
21.870001,11.080262184143066
23.290001,11.410109519958496
22.59,12.063345909118652
22.860001,11.70490837097168
20.790001,11.72039794921875
20.280001,10.38729476928711
20.620001,10.459850311279297
20.32,10.574572563171387
21.66,10.700557708740234
21.99,11.422389030456543
22.27,11.68312931060791
21.83,11.859395027160645
21.950001,11.258781433105469
20.91,11.443084716796875
20.4,10.60790729522705
20.23,10.431523323059082
19.639999,10.39051342010498
19.75,10.23198127746582
19.52,10.300848960876465
19.52,10.232560157775879
19.48,10.296372413635254
19.879999,10.17357349395752
18.98,10.48430061340332
19.0,9.793718338012695
19.32,9.867758750915527
19.5,10.055436134338379
23.23,10.25978946685791
22.559999,12.538224220275879
21.940001,11.881863594055176
21.110001,11.365043640136719
21.209999,10.501431465148926
21.18,11.06392765045166
21.25,10.67959213256836
21.17,10.929763793945312
20.469999,10.992554664611816
19.99,10.666966438293457
19.209999,10.357932090759277
20.07,9.90684986114502
19.860001,10.569507598876953
22.360001,10.371832847595215
22.17,12.076248168945312
23.559999,11.6431303024292
22.92,12.636740684509277
23.1,11.701828956604004
24.32,12.081827163696289
24.0,12.495183944702148
25.940001,12.453988075256348
26.15,13.58670711517334
26.360001,13.63770580291748
27.32,13.849413871765137
28.0,14.134674072265625
27.040001,14.741447448730469
27.459999,13.80644702911377
27.709999,14.11757755279541
26.969999,14.383755683898926
27.49,13.950236320495605
27.84,14.20212459564209
27.98,14.60547924041748
27.58,14.712374687194824
28.24,14.273585319519043
26.809999,14.839537620544434
26.75,13.80498218536377
27.709999,13.863874435424805
27.41,14.476863861083984
27.360001,14.455876350402832
26.26,14.21017074584961
26.93,13.565461158752441
26.51,14.200396537780762
26.049999,13.75131607055664
25.91,13.577722549438477
26.620001,13.402101516723633
28.0,14.119338035583496
27.77,14.890334129333496
28.76,14.576528549194336
29.42,15.157783508300781
29.059999,15.473089218139648
30.59,15.181084632873535
31.299999,15.942452430725098
31.719999,16.425886154174805
30.950001,16.62461280822754
30.1,15.837481498718262
29.85,15.495280265808105
30.139999,15.33386516571045
29.66,15.672183990478516
30.73,15.375506401062012
30.82,16.202014923095703
31.08,16.253551483154297
31.540001,16.439348220825195
32.470001,16.494915008544922
30.790001,17.196760177612305
31.24,15.813505172729492
30.98,16.205440521240234
29.73,16.0384521484375
28.110001,15.427396774291992
28.639999,14.24571704864502
29.049999,15.065201759338379
28.65,15.384337425231934
28.549999,15.08459186553955
28.26,14.932014465332031
27.370001,14.906145095825195
27.91,14.27597427368164
28.5,14.576886177062988
28.32,15.011096000671387
28.93,14.886874198913574
28.459999,15.168435096740723
27.280001,14.892379760742188
27.129999,14.093832969665527
27.27,13.954266548156738
27.389999,14.251463890075684
26.870001,14.345571517944336
27.25,13.961472511291504
27.780001,14.351181983947754
27.719999,14.678885459899902
27.52,14.570210456848145
27.450001,14.292679786682129
28.58,14.304605484008789
27.959999,15.089336395263672
28.139999,14.527384757995605
27.83,14.659208297729492
27.08,14.402958869934082
27.040001,14.096064567565918
26.65,13.944214820861816
26.49,13.863496780395508
26.549999,13.836472511291504
25.860001,13.867866516113281
25.74,13.520121574401855
25.73,13.4411039352417
25.129999,13.457157135009766
25.209999,13.128105163574219
26.09,13.142454147338867
25.58,13.788995742797852
25.530001,13.420975685119629
25.42,13.299314498901367
26.25,13.224846839904785
27.07,13.891661643981934
27.389999,14.215513229370117
26.85,14.393597602844238
26.59,13.903155326843262
27.57,13.776618003845215
28.02,14.432137489318848
27.4,14.669093132019043
26.52,14.154118537902832
26.92,13.600717544555664
26.629999,14.069600105285645
25.690001,13.863496780395508
25.73,13.231881141662598
25.969999,13.345573425292969
25.98,13.70256233215332
26.110001,13.670503616333008
26.139999,13.6524076461792
26.85,13.724206924438477
26.98,14.17816162109375
27.77,14.131656646728516
27.43,14.61208438873291
28.969999,14.238121032714844
28.309999,15.330785751342773
27.57,14.638611793518066
26.889999,14.24117374420166
27.120001,13.655083656311035
27.040001,14.186223030090332
26.68,14.013176918029785
26.82,13.886448860168457
27.07,14.0354585647583
26.6,14.28835678100586
26.129999,13.904166221618652
26.25,13.543828010559082
25.76,13.698456764221191
25.66,13.42366886138916
25.16,13.357561111450195
25.059999,13.059020042419434
24.309999,13.138092994689941
24.1,12.601950645446777
23.32,12.596512794494629
24.549999,12.087173461914062
24.35,13.042922019958496
23.85,12.772307395935059
23.52,12.508009910583496
22.9,12.13912296295166
22.969999,11.964554786682129
23.290001,11.929354667663574
24.33,12.158978462219238
24.030001,12.909430503845215
23.77,12.578701972961426
23.73,12.40645980834961
23.629999,12.303970336914062
24.02,12.315581321716309
24.209999,12.467348098754883
24.309999,12.615665435791016
23.9,12.715118408203125
24.530001,12.393057823181152
23.940001,12.859479904174805
24.25,12.39075756072998
24.16,12.649858474731445
24.66,12.502676010131836
24.879999,12.999106407165527
24.809999,12.956829071044922
24.41,12.974946022033691
24.52,12.617398262023926
24.370001,12.762479782104492
24.709999,12.64705753326416
25.48,12.901434898376465
25.799999,13.372714042663574
25.809999,13.591181755065918
25.91,13.471692085266113
26.280001,13.493502616882324
26.32,13.732645034790039
26.65,13.671504020690918
26.18,13.859443664550781
25.879999,13.535758018493652
26.049999,13.411613464355469
26.129999,13.522625923156738
26.51,13.660792350769043
34.360001000000004,13.864151954650879
34.009998,18.945026397705078
35.43,18.184154510498047
37.630001,18.794857025146484
36.799999,19.419166564941406
37.490002,19.413894653320312
38.049999,18.814970016479492
39.189999,19.33438491821289
38.549999,20.478168487548828
38.869999,19.752033233642578
38.540001,20.240264892578125
38.5,19.979148864746094
38.220001,20.124832153320312
37.02,19.779417037963867
36.650002,19.19205665588379
36.560001,19.03984832763672
37.080002,19.13677406311035
37.810001,19.586942672729492
38.41,19.968530654907227
38.32,20.38016128540039
38.549999,20.17842674255371
40.549999,20.24988555908203
41.34,21.49658966064453
39.639999,21.824787139892578
40.549999,20.45128631591797
41.279999,21.074466705322266
41.290001,21.710290908813477
41.869999,21.641387939453125
41.779999,21.723766326904297
42.66,21.9227352142334
43.950001,22.499828338623047
44.040001,23.157026290893555
43.599998,23.14874267578125
45.040001,22.663890838623047
44.75,23.68621826171875
44.310001,23.42892074584961
42.509998,23.025331497192383
45.07,21.761978149414062
45.23,23.930862426757812
45.98,23.78839683532715
47.490002,24.34430694580078
47.189999,24.96044158935547
48.450001,25.046823501586914
49.459999,25.44985580444336
50.389999,25.940011978149414
51.240002,26.57162094116211
50.23,26.772403717041016
50.419998,26.124128341674805
50.279999,26.235031127929688
49.18,26.131385803222656
51.040001,25.545774459838867
50.52,26.77576446533203
47.139999,26.552764892578125
46.77,24.347251892089844
49.049999,24.143016815185547
49.110001,26.17597198486328
49.509998,26.065990447998047
49.5,25.986568450927734
51.139999,26.0999813079834
52.209999,27.373294830322266
54.220001,27.549779891967773
53.849998,28.733325958251953
52.68,28.122150421142578
51.900002,27.393415451049805
52.450001,26.744468688964844
51.950001,27.395782470703125
50.23,26.99669075012207
49.400002,25.998218536376953
49.009998,25.71571922302246
50.209999,25.786651611328125
49.75,26.64175033569336
48.220001,26.18234634399414
50.110001,25.26902198791504
49.119999,26.556140899658203
47.560001,25.923828125
47.529999,24.75843048095703
46.200001,24.639774322509766
46.610001,24.27023696899414
48.709999,24.468826293945312
48.990002,25.846031188964844
49.009998,26.13909912109375
45.830002,25.82284927368164
46.360001,23.60987663269043
46.43,24.271095275878906
46.700001,24.17230796813965
46.23,24.629701614379883
44.82,24.02825927734375
45.889999,23.55160140991211
46.490002,24.257776260375977
47.009998,24.610742568969727
47.060001,24.861406326293945
46.73,24.64071273803711
48.619999,24.600933074951172
48.34,25.746437072753906
47.939999,25.359054565429688
48.84,25.018224716186523
50.25,25.510990142822266
49.380001,26.697513580322266
51.830002,25.750980377197266
53.32,27.362380981445312
53.810001,28.252826690673828
54.860001,28.484338760375977
55.57,28.62230682373047
55.049999,29.251266479492188
55.119999,28.658483505249023
57.77,28.571125030517578
57.959999,30.48406410217285
57.73,30.501359939575195
55.439999,30.166641235351562
53.709999,28.531574249267578
54.650002,27.844131469726562
54.709999,28.475719451904297
54.560001,28.757160186767578
57.200001,28.67441749572754
57.919998,30.474498748779297
58.23,30.997276306152344
57.220001,30.822256088256836
57.939999,29.72486114501953
55.91,30.471485137939453
57.740002,28.837127685546875
57.599998,30.325546264648438
57.189999,30.087825775146484
56.299999,30.201087951660156
58.509998,29.224729537963867
57.509998,31.211288452148438
56.630001,30.16099739074707
54.450001,29.593263626098633
53.549999,28.041362762451172
55.139999,28.063716888427734
53.529999,29.018924713134766
61.080002,28.094743728637695
62.57,33.09174728393555
61.48,33.567298889160156
62.75,32.76364517211914
62.189999,32.46384048461914
62.16,32.76150894165039
64.32,32.105533599853516
63.549999,33.3708610534668
64.849998,33.2685432434082
64.449997,34.11338424682617
67.33000200000001,33.70642852783203
67.089996,35.92630386352539
67.300003,35.097599029541016
68.059998,35.4320182800293
69.629997,35.53514862060547
68.589996,36.930179595947266
70.779999,35.71770477294922
69.849998,37.28049850463867
69.260002,36.51280212402344
68.940002,36.320072174072266
68.459999,35.752559661865234
67.410004,35.968971252441406
68.800003,35.09830856323242
71.57,36.2767219543457
70.839996,38.1876335144043
69.800003,37.48508071899414
72.029999,36.505367279052734
70.099998,38.07966995239258
70.879997,36.7603645324707
68.83000200000001,37.05244064331055
67.720001,35.5737190246582
68.739998,35.56997299194336
69.190002,35.96287155151367
68.239998,36.72829818725586
66.970001,35.824886322021484
67.239998,35.05451583862305
64.099998,35.498878479003906
64.889999,33.3536262512207
60.389999,34.05873107910156
60.970001,31.117679595947266
60.009998,32.30860900878906
60.240002,31.34882354736328
62.619999,32.303340911865234
62.720001,33.20359420776367
59.490002,33.640472412109375
56.75,31.03008270263672
56.950001,29.230438232421875
58.189999,29.820825576782227
62.41,30.759258270263672
59.16,33.445987701416016
58.529999,31.009571075439453
58.889999,30.858272552490234
59.09,30.847671508789062
