Ground truth,Model Predictions,Linear Reg
128.690002,126.57503509521484,127.27323913574219
129.229996,128.0150604248047,128.7183837890625
128.089996,128.3191375732422,129.02352905273438
128.270004,127.08065032958984,127.78064727783203
128.770004,127.41272735595703,128.11390686035156
128.190002,127.9823989868164,128.6855926513672
128.470001,127.42461395263672,128.12582397460938
128.740005,127.58756256103516,128.2893524169922
128.990005,127.86197662353516,128.5647430419922
130.240005,128.00807189941406,128.71136474609375
128.880005,129.046630859375,129.7536163330078
129.050003,127.96051025390625,128.66363525390625
127.82,128.10533142089844,128.80897521972656
127.879997,127.03953552246094,127.73938751220703
127.540001,127.35750579833984,128.05848693847656
128.570007,126.6976089477539,127.39624786376953
130.110001,127.84325408935547,128.54595947265625
130.0,128.89849853515625,129.60494995117188
132.070007,128.8529815673828,129.5592803955078
133.279999,130.69308471679688,131.40591430664062
132.28999299999998,131.7596435546875,132.47625732421875
131.03999299999998,130.95855712890625,131.67233276367188
129.690002,129.74571228027344,130.45516967773438
131.28999299999998,128.9956512451172,129.70245361328125
130.990005,130.4265899658203,131.1384735107422
129.5,129.94651794433594,130.6566925048828
127.169998,128.71852111816406,129.42433166503906
120.0,126.45465850830078,127.15242767333984
120.75,120.35682678222656,121.0329360961914
122.150002,121.44709014892578,122.1270751953125
124.220001,122.65410614013672,123.33837890625
123.18,124.02140045166016,124.71052551269531
120.800003,121.89653778076172,122.57811737060547
119.019997,120.72673797607422,121.40415954589844
115.080002,118.9299545288086,119.60099792480469
117.199997,115.52601623535156,116.18496704101562
116.339996,117.57067108154297,118.23688507080078
117.790001,116.10192108154297,116.7629165649414
117.019997,117.26077270507812,117.92588806152344
121.769997,116.08885955810547,116.74980926513672
121.470001,121.1374282836914,121.81631469726562
120.839996,120.0304946899414,120.7054443359375
120.379997,119.78915405273438,120.46324920654297
120.410004,119.1229476928711,119.794677734375
120.870003,119.7279281616211,120.40180206298828
118.419998,119.74419403076172,120.41812896728516
115.099998,117.60002136230469,118.26634216308594
115.400002,114.67601776123047,115.33194732666016
117.43,115.16986083984375,115.82754516601562
117.309998,117.33480072021484,118.00017547607422
117.949997,116.60700225830078,117.26979064941406
118.910004,116.98824310302734,117.65238952636719
119.68,118.06391906738281,118.73188781738281
117.769997,118.78260040283203,119.45311737060547
120.309998,116.92980194091797,117.59373474121094
120.209999,119.3902587890625,120.06293487548828
120.57,119.0356674194336,119.70708465576172
119.870003,119.40210723876953,120.0748291015625
119.239998,118.60014343261719,119.27001190185547
119.089996,118.66962432861328,119.3397445678711
119.040001,118.23113250732422,118.89968872070312
117.400002,118.41363525390625,119.08283996582031
117.269997,116.86833953857422,117.53205871582031
118.010002,116.69055938720703,117.35364532470703
116.919998,117.5054931640625,118.17147064208984
116.349998,116.45817565917969,117.12043762207031
115.050003,115.80007934570312,116.45999908447266
116.860001,114.74752044677734,115.40370178222656
118.690002,116.43644714355469,117.0986328125
120.669998,117.70848846435547,118.37519073486328
