Ground truth,Model Predictions,Linear Reg
135.050003,191.17950439453125,121.4964599609375
135.919998,191.23971557617188,121.6844482421875
134.720001,191.1843719482422,121.51165771484375
136.619995,191.110107421875,121.27978515625
135.520004,191.16807556152344,121.46075439453125
133.53999299999998,191.080322265625,121.186767578125
133.03999299999998,191.049560546875,121.0906982421875
132.300003,191.13230895996094,121.34906005859375
130.46000700000002,191.11328125,121.2896728515625
130.259995,191.12139892578125,121.31500244140625
127.559998,191.1561279296875,121.4234619140625
128.279999,191.05645751953125,121.11224365234375
126.239998,191.0839080810547,121.19793701171875
126.25,191.15899658203125,121.43243408203125
125.290001,191.0703125,121.155517578125
125.709999,191.053955078125,121.10443115234375
125.220001,190.95663452148438,120.800537109375
125.25,190.86851501464844,120.525390625
125.25,190.86964416503906,120.5289306640625
126.279999,190.86558532714844,120.51629638671875
125.790001,190.7362060546875,120.1123046875
125.16999799999999,190.72781372070312,120.08612060546875
123.940002,190.63528442382812,119.79718017578125
123.83000200000001,190.56594848632812,119.5806884765625
124.849998,190.46347045898438,119.26068115234375
123.599998,190.4994659423828,119.37310791015625
118.949997,190.35740661621094,118.9295654296875
117.220001,189.85162353515625,117.35028076171875
116.290001,189.84295654296875,117.3232421875
118.480003,190.06077575683594,118.00335693359375
118.730003,189.92196655273438,117.5699462890625
117.400002,189.9878387451172,117.77557373046875
115.599998,189.8411865234375,117.31768798828125
117.239998,189.81045532226562,117.22174072265625
116.07,189.7734375,117.10614013671875
116.940002,189.49746704101562,116.24444580078125
118.25,189.662841796875,116.76080322265625
121.620003,189.4313507080078,116.03802490234375
121.870003,189.4739990234375,116.17120361328125
122.489998,189.37619018554688,115.86578369140625
123.550003,189.7250213623047,116.9549560546875
123.889999,189.957275390625,117.68017578125
123.309998,189.9253692626953,117.58056640625
122.33000200000001,189.91319274902344,117.54254150390625
123.099998,189.82046508789062,117.25299072265625
121.720001,189.7653045654297,117.08074951171875
120.900002,189.97921752929688,117.7486572265625
121.599998,190.2908935546875,118.72186279296875
122.690002,190.23709106445312,118.5538330078125
121.410004,190.28143310546875,118.69232177734375
123.83000200000001,190.3942413330078,119.0445556640625
123.269997,190.22848510742188,118.5269775390625
123.360001,190.13973999023438,118.2498779296875
123.160004,190.21026611328125,118.4700927734375
123.68,190.1796875,118.3746337890625
121.660004,190.38067626953125,119.002197265625
122.110001,190.11305236816406,118.16656494140625
120.029999,190.2518768310547,118.60003662109375
120.449997,190.00485229492188,117.8287353515625
119.889999,189.97537231445312,117.7366943359375
119.629997,190.1886749267578,118.4027099609375
118.900002,190.09922790527344,118.1234130859375
123.269997,190.20559692382812,118.45550537109375
122.610001,189.9592742919922,117.6864013671875
121.660004,189.80120849609375,117.19287109375
121.739998,190.01089477539062,117.84759521484375
121.32,190.14076232910156,118.25311279296875
121.800003,190.2584228515625,118.6204833984375
121.43,190.062744140625,118.00946044921875
122.510002,189.97628784179688,117.739501953125
123.41999799999999,189.9820556640625,117.757568359375
123.059998,189.98460388183594,117.7655029296875
121.970001,190.60134887695312,119.69122314453125
122.58000200000001,190.51007080078125,119.40618896484375
122.0,190.29324340820312,118.72918701171875
123.480003,190.24911499023438,118.5914306640625
122.940002,190.0869598388672,118.0850830078125
123.260002,190.18423461914062,118.3887939453125
121.309998,190.36233520507812,118.9449462890625
122.739998,190.39016723632812,119.03179931640625
122.470001,190.34521484375,118.8914794921875
122.940002,190.28073120117188,118.69012451171875
122.980003,190.20074462890625,118.44036865234375
122.989998,190.19091796875,118.40966796875
123.0,190.259765625,118.6246337890625
122.93,190.43136596679688,119.16046142578125
122.620003,190.3343048095703,118.857421875
122.660004,190.26882934570312,118.6529541015625
123.199997,190.40235900878906,119.06988525390625
123.970001,190.37881469726562,118.99639892578125
125.410004,190.3900146484375,119.0313720703125
122.410004,190.3934326171875,119.04205322265625
122.470001,190.336669921875,118.86480712890625
101.879997,190.29074096679688,118.72137451171875
