Ground truth,Model Predictions,Linear Reg
135.050003,141.37522888183594,132.39324951171875
135.919998,141.391357421875,132.42544555664062
134.720001,141.59584045410156,132.8338623046875
136.619995,141.4334716796875,132.50955200195312
135.520004,141.68362426757812,133.00918579101562
133.53999299999998,141.62184143066406,132.88580322265625
133.03999299999998,141.3173065185547,132.27755737304688
132.300003,141.07298278808594,131.78958129882812
130.46000700000002,140.7161407470703,131.07684326171875
130.259995,140.1920166015625,130.030029296875
127.559998,139.94065856933594,129.52801513671875
128.279999,139.3308868408203,128.31011962890625
126.239998,139.07850646972656,127.80606079101562
126.25,138.66680908203125,126.9837646484375
125.290001,138.405029296875,126.4609375
125.709999,138.04147338867188,125.73480224609375
125.220001,137.9742889404297,125.60061645507812
125.25,137.8606414794922,125.37362670898438
125.25,137.75741577148438,125.16748046875
126.279999,137.75196838378906,125.15658569335938
125.790001,137.8319549560547,125.31634521484375
125.169998,137.89308166503906,125.43844604492188
123.940002,137.68917846679688,125.03118896484375
123.830002,137.35379028320312,124.361328125
124.849998,137.0724334716797,123.79937744140625
123.599998,137.18055725097656,124.01531982421875
118.949997,137.0016326904297,123.657958984375
117.220001,135.96246337890625,121.58245849609375
116.290001,134.94471740722656,119.54974365234375
118.480003,134.17752075195312,118.01742553710938
118.730003,134.32167053222656,118.30532836914062
117.400002,134.63180541992188,118.92477416992188
115.599998,134.58082580566406,118.82293701171875
117.239998,134.1354522705078,117.93341064453125
116.07,134.2186279296875,118.09954833984375
116.940002,133.9094696044922,117.4820556640625
118.25,133.8301544189453,117.32363891601562
121.620003,134.15858459472656,117.9796142578125
121.870003,135.0791473388672,119.8182373046875
122.489998,135.78114318847656,121.22030639648438
123.550003,136.21080017089844,122.07846069335938
123.889999,136.4853057861328,122.626708984375
123.309998,136.54075622558594,122.73745727539062
122.330002,136.55743408203125,122.77078247070312
123.099998,136.2266387939453,122.11007690429688
121.720001,136.2545166015625,122.165771484375
120.900002,136.01771545410156,121.69281005859375
121.599998,135.8754119873047,121.40859985351562
122.690002,135.87721252441406,121.41220092773438
121.410004,136.14920043945312,121.95541381835938
123.830002,136.11480712890625,121.88671875
123.269997,136.60678100585938,122.86932373046875
123.360001,136.69444274902344,123.04443359375
123.160004,136.72264099121094,123.10073852539062
123.68,136.72874450683594,123.11294555664062
121.660004,136.7140350341797,123.08355712890625
122.110001,136.28128051757812,122.21923828125
120.029999,136.18788146972656,122.03268432617188
120.449997,135.72149658203125,121.10116577148438
119.889999,135.48306274414062,120.62496948242188
119.629997,135.4129638671875,120.48495483398438
118.900002,135.272216796875,120.203857421875
123.269997,135.0962677001953,119.8524169921875
122.610001,135.93785095214844,121.53329467773438
121.660004,136.32269287109375,122.30194091796875
121.739998,136.25428771972656,122.16531372070312
121.32,136.22825622558594,122.11331176757812
121.800003,135.89828491210938,121.45428466796875
121.43,135.90365600585938,121.46499633789062
122.510002,135.82208251953125,121.30209350585938
123.419998,136.04867553710938,121.754638671875
123.059998,136.33078002929688,122.31808471679688
121.970001,136.64393615722656,122.94354248046875
122.580002,136.42405700683594,122.50439453125
122.0,136.3477020263672,122.35189819335938
123.480003,136.18814086914062,122.033203125
122.940002,136.416748046875,122.48977661132812
123.260002,136.49484252929688,122.645751953125
121.309998,136.5862274169922,122.82827758789062
122.739998,136.2600555419922,122.17681884765625
122.470001,136.3609161376953,122.37826538085938
122.940002,136.31655883789062,122.2896728515625
122.980003,136.3903350830078,122.43704223632812
122.989998,136.52630615234375,122.7086181640625
123.0,136.53822326660156,122.732421875
122.93,136.61997985839844,122.89569091796875
122.620003,136.56443786621094,122.78475952148438
122.660004,136.50250244140625,122.66107177734375
123.199997,136.37014770507812,122.396728515625
123.970001,136.5340118408203,122.7239990234375
125.410004,136.7447052001953,123.14480590820312
122.410004,137.19888305664062,124.05194091796875
122.470001,136.82066345214844,123.2965087890625
101.879997,136.58277893066406,122.8214111328125
100.75,131.4530487060547,112.575927734375
102.309998,128.20462036132812,106.08792114257812
105.650002,126.80841064453125,103.29930114746094
106.379997,127.4521713256836,104.58506774902344
106.910004,128.7530975341797,107.18338012695312
108.199997,129.76304626464844,109.20053100585938
108.529999,130.55435180664062,110.78097534179688
108.379997,130.6514129638672,110.97482299804688
108.220001,130.73255920410156,111.13690185546875
105.599998,129.57131958007812,108.81759643554688
106.68,128.7592010498047,107.195556640625
105.540001,128.6893768310547,107.05609130859375
107.279999,128.5026092529297,106.68307495117188
106.739998,128.8678741455078,107.41262817382812
107.529999,128.9989013671875,107.67431640625
107.470001,129.337890625,108.35137939453125
107.139999,129.4682159423828,108.61166381835938
106.589996,129.39364624023438,108.46273803710938
108.5,129.2032470703125,108.08245849609375
107.800003,129.41439819335938,108.50418090820312
108.269997,129.5082550048828,108.69161987304688
107.110001,129.6075897216797,108.8900146484375
108.279999,129.47413635253906,108.62347412109375
107.82,129.56983947753906,108.81463623046875
108.379997,129.5609893798828,108.79696655273438
107.480003,129.69508361816406,109.06478881835938
104.660004,129.53805541992188,108.75115966796875
105.209999,128.6781768798828,107.03372192382812
104.419998,128.45948791503906,106.59695434570312
104.830002,128.03294372558594,105.74502563476562
104.300003,128.0619354248047,105.80293273925781
104.150002,127.944580078125,105.56854248046875
103.709999,127.95909118652344,105.59751892089844
105.830002,127.79337310791016,105.26654052734375
107.940002,128.29444885253906,106.267333984375
107.910004,129.067626953125,107.81158447265625
105.989998,129.37661743164062,108.4287109375
106.790001,129.14320373535156,107.9625244140625
106.849998,129.02940368652344,107.7352294921875
106.300003,128.94082641601562,107.55831909179688
106.599998,128.75376892089844,107.18472290039062
106.650002,128.79408264160156,107.26522827148438
105.279999,128.7938995361328,107.26486206054688
105.010002,128.57066345214844,106.81900024414062
107.389999,128.4356689453125,106.54937744140625
108.43,128.90602111816406,107.48880004882812
108.529999,129.3489227294922,108.3734130859375
107.839996,129.77880859375,109.23199462890625
107.620003,129.78211975097656,109.23861694335938
109.610001,129.58619689941406,108.8472900390625
109.720001,129.9509735107422,109.57586669921875
109.529999,130.19129943847656,110.05584716796875
110.040001,130.24644470214844,110.16598510742188
109.610001,130.3894500732422,110.45162963867188
110.720001,130.4298553466797,110.53231811523438
111.959999,130.69886779785156,111.06961059570312
109.849998,131.1267547607422,111.92422485351562
110.480003,130.81007385253906,111.29171752929688
113.169998,130.7791290283203,111.22991943359375
112.349998,131.46728515625,112.60433959960938
112.75,131.60609436035156,112.881591796875
110.660004,131.8159942626953,113.30081176757812
109.949997,131.38844299316406,112.44686889648438
109.040001,130.86376953125,111.39895629882812
110.169998,130.3988037109375,110.47030639648438
109.199997,130.51812744140625,110.7086181640625
106.32,130.28175354003906,110.23651123046875
105.459999,129.5653839111328,108.80572509765625
104.519997,129.07591247558594,107.828125
105.5,128.41021728515625,106.49853515625
105.730003,128.4431915283203,106.56439208984375
105.809998,128.5218963623047,106.72158813476562
106.830002,128.68626403808594,107.04989624023438
105.0,129.0108642578125,107.69821166992188
104.010002,128.7594757080078,107.19610595703125
104.709999,128.2671356201172,106.2127685546875
107.269997,128.0101776123047,105.69955444335938
105.309998,128.58168029785156,106.84100341796875
105.889999,128.45077514648438,106.57955932617188
