Ground truth,Model Predictions
21.610001,22.14853858947754
21.6,22.150081634521484
21.91,22.128923416137695
21.940001,22.41132354736328
22.139999,22.39897346496582
22.1,22.609630584716797
22.190001,22.535524368286133
22.190001,22.65448570251465
22.559999,22.61485481262207
22.610001,22.985916137695312
22.620001,22.987899780273438
22.709999,23.000873565673828
22.67,23.1058292388916
22.6,23.072141647338867
22.73,23.02951431274414
22.469999,23.148975372314453
22.440001,22.90355682373047
22.610001,22.884798049926758
22.530001,23.06887435913086
23.0,23.007625579833984
23.0,23.463762283325195
22.870001,23.41552734375
22.67,23.337177276611328
22.540001,23.079309463500977
22.65,23.041614532470703
22.440001,23.123136520385742
22.34,22.876264572143555
22.67,22.846364974975586
22.809999,23.12244415283203
23.129999,23.296789169311523
23.620001,23.606021881103516
23.67,24.03908348083496
23.799999,24.071880340576172
23.700001,24.1705322265625
23.6,24.075040817260742
23.379999,24.012792587280273
23.33,23.745136260986328
23.49,23.771610260009766
23.83,23.928476333618164
23.709999,24.260427474975586
24.040001,24.158021926879883
23.940001,24.506027221679688
23.92,24.37793731689453
24.280001,24.40328025817871
24.26,24.71806526184082
23.74,24.683242797851562
23.83,24.15760040283203
23.870001,24.2779541015625
23.940001,24.367685317993164
23.719999,24.41413688659668
23.98,24.17949676513672
24.040001,24.50261878967285
24.02,24.485557556152344
23.790001,24.51521873474121
23.91,24.289077758789062
23.690001,24.40072250366211
23.700001,24.156150817871094
23.74,24.201509475708008
24.01,24.23299789428711
23.889999,24.493053436279297
23.85,24.34445571899414
23.959999,24.340303421020508
23.84,24.4534854888916
23.860001,24.303579330444336
23.780001,24.35439109802246
23.92,24.235790252685547
24.34,24.414020538330078
24.24,24.776105880737305
24.1,24.691730499267578
24.17,24.561344146728516
24.07,24.615318298339844
24.25,24.554994583129883
23.799999,24.715425491333008
24.02,24.239456176757812
24.01,24.5395565032959
24.16,24.433956146240234
24.41,24.69809913635254
24.52,24.86939239501953
24.75,24.976572036743164
24.84,25.210302352905273
24.83,25.240142822265625
24.959999,25.302927017211914
24.85,25.356765747070312
25.040001,25.27276039123535
25.120001,25.477888107299805
25.32,25.522130966186523
25.35,25.77058982849121
25.52,25.758140563964844
25.4,25.970542907714844
25.309999,25.838117599487305
25.16,25.766389846801758
25.120001,25.632665634155273
25.120001,25.60104751586914
25.57,25.607194900512695
25.799999,26.055139541625977
25.84,26.258277893066406
26.040001,26.29114532470703
25.76,26.499433517456055
25.6,26.21343231201172
25.190001,26.089805603027344
25.309999,25.646732330322266
25.610001,25.851804733276367
25.43,26.062257766723633
24.870001,25.920902252197266
24.549999,25.38261604309082
24.549999,25.1113338470459
24.58,25.181509017944336
24.709999,25.161842346191406
24.17,25.287307739257812
24.16,24.678630828857422
24.17,24.73828125
24.110001,24.735445022583008
24.049999,24.727628707885742
23.809999,24.580078125
23.66,24.330177307128906
23.860001,24.210983276367188
24.139999,24.38630485534668
24.280001,24.701196670532227
24.35,24.754873275756836
24.530001,24.804916381835938
24.49,24.995285034179688
24.25,24.9351863861084
24.67,24.708791732788086
24.85,25.13525390625
25.02,25.24893569946289
25.09,25.435928344726562
25.17,25.478498458862305
25.639999,25.613494873046875
25.610001,26.055030822753906
25.559999,26.00163459777832
25.41,26.003637313842773
25.639999,25.78285789489746
25.51,26.103622436523438
25.33,25.9309139251709
25.18,25.80144500732422
25.360001,25.65802001953125
25.639999,25.852706909179688
25.35,26.144678115844727
25.43,25.832258224487305
25.08,25.956653594970703
25.08,25.54694938659668
25.24,25.652997970581055
25.139999,25.74211311340332
24.889999,25.66500473022461
25.08,25.378374099731445
25.91,25.587587356567383
25.85,26.447681427001953
25.959999,26.271398544311523
25.98,26.437191009521484
26.02,26.390758514404297
26.469999,26.48025131225586
26.76,26.892099380493164
26.52,27.162731170654297
26.74,26.90804672241211
26.620001,27.102380752563477
26.610001,27.0682430267334
26.83,27.084613800048828
26.540001,27.26592445373535
26.68,27.00545883178711
26.65,27.151426315307617
26.85,27.102008819580078
27.0,27.40534782409668
26.84,27.443044662475586
27.700001,27.340444564819336
27.51,28.188352584838867
27.280001,27.896160125732422
27.629999,27.796897888183594
27.17,28.047870635986328
27.51,27.655256271362305
27.32,28.004568099975586
26.959999,27.72884178161621
26.879999,27.535545349121094
27.139999,27.31829833984375
26.99,27.728822708129883
27.0,27.54511070251465
27.059999,27.499181747436523
27.290001,27.63027572631836
27.709999,27.801923751831055
27.57,28.211708068847656
27.41,28.055803298950195
27.379999,27.901416778564453
26.84,27.840396881103516
27.030001,27.36222267150879
27.41,27.57628059387207
27.370001,27.897382736206055
27.389999,27.875150680541992
27.690001,27.851760864257812
28.07,28.217775344848633
28.120001,28.583765029907227
28.27,28.559648513793945
28.190001,28.756383895874023
28.25,28.610061645507812
27.940001,28.691843032836914
28.02,28.396947860717773
28.110001,28.531665802001953
28.02,28.571548461914062
28.040001,28.509963989257812
27.99,28.555105209350586
28.290001,28.50618553161621
28.110001,28.842317581176758
28.379999,28.595333099365234
28.16,28.93790626525879
28.6,28.62698745727539
28.639999,29.132036209106445
28.860001,29.095273971557617
28.84,29.35917091369629
29.23,29.28949546813965
29.030001,29.693811416625977
29.16,29.4925479888916
29.1,29.627870559692383
29.16,29.577953338623047
29.110001,29.6369686126709
29.92,29.59125328063965
30.639999,30.40297508239746
30.67,31.05828285217285
30.450001,31.03983497619629
30.940001,30.88408851623535
30.870001,31.395465850830078
30.59,31.322248458862305
31.059999,31.034503936767578
30.93,31.505773544311523
31.08,31.343563079833984
30.6,31.54464340209961
30.26,31.07537841796875
30.09,30.891481399536133
30.43,30.623029708862305
29.07,31.04677391052246
28.9,29.641096115112305
29.27,29.580556869506836
28.959999,29.933897018432617
28.719999,29.648889541625977
29.030001,29.369857788085938
28.73,29.678823471069336
28.6,29.382810592651367
28.719999,29.17652702331543
29.370001,29.403478622436523
29.4,29.949369430541992
29.559999,29.83713722229004
29.25,30.082006454467773
28.959999,29.742929458618164
28.700001,29.48456573486328
28.780001,29.246244430541992
29.299999,29.344829559326172
29.110001,29.813663482666016
29.040001,29.554914474487305
29.01,29.595197677612305
28.280001,29.536977767944336
28.25,28.881460189819336
27.23,28.8735408782959
27.75,27.800718307495117
27.66,28.47216796875
27.48,28.149614334106445
28.110001,28.18963050842285
28.26,28.67214584350586
28.370001,28.82040023803711
28.42,28.980478286743164
28.43,28.868406295776367
29.08,29.023916244506836
29.09,29.484649658203125
29.16,29.49493980407715
29.4,29.62591552734375
29.1,29.761781692504883
28.639999,29.567333221435547
28.459999,29.122238159179688
27.709999,28.975976943969727
27.99,28.27498435974121
28.1,28.57624053955078
28.18,28.660648345947266
28.01,28.805652618408203
27.780001,28.532752990722656
27.700001,28.415088653564453
27.65,28.337263107299805
27.969999,28.225297927856445
28.129999,28.58393669128418
28.35,28.599884033203125
28.440001,28.852867126464844
28.77,28.914920806884766
28.809999,29.27713394165039
28.790001,29.27594757080078
28.68,29.25460433959961
28.68,29.137676239013672
28.49,29.143131256103516
29.09,28.968547821044922
29.35,29.585155487060547
29.42,29.79660415649414
29.280001,29.879011154174805
29.190001,29.73908042907715
29.370001,29.713274002075195
29.540001,29.88947105407715
29.67,30.01205062866211
29.23,30.161300659179688
29.110001,29.656755447387695
29.370001,29.650331497192383
29.190001,29.911865234375
29.34,29.73952293395996
29.26,29.881797790527344
29.129999,29.75759506225586
29.209999,29.69452667236328
29.190001,29.7407169342041
29.27,29.772329330444336
29.030001,29.820955276489258
28.799999,29.52326774597168
28.370001,29.38495635986328
28.459999,28.919185638427734
28.530001,29.083036422729492
28.24,29.106496810913086
28.16,28.811988830566406
28.34,28.74550437927246
28.02,28.924793243408203
28.0,28.61907196044922
28.209999,28.593711853027344
28.1,28.79221534729004
28.209999,28.644838333129883
28.01,28.737037658691406
28.370001,28.54958724975586
28.27,28.9370059967041
28.280001,28.733795166015625
28.299999,28.84163475036621
28.450001,28.788673400878906
28.67,28.956151962280273
28.309999,29.171388626098633
28.51,28.778669357299805
28.709999,29.06053352355957
28.639999,29.16425132751465
29.040001,29.164472579956055
28.84,29.51525115966797
28.969999,29.306259155273438
28.799999,29.486284255981445
28.709999,29.246736526489258
28.49,29.285274505615234
28.52,28.9755802154541
28.879999,29.056631088256836
28.73,29.42215347290039
28.889999,29.209077835083008
29.01,29.450645446777344
28.77,29.502845764160156
29.0,29.322050094604492
28.620001,29.52329444885254
28.24,29.129745483398438
28.290001,28.80340576171875
28.77,28.805522918701172
28.719999,29.35784339904785
29.35,29.22193145751953
29.16,29.85218048095703
29.799999,29.648496627807617
30.26,30.307981491088867
30.51,30.677886962890625
30.4,30.967538833618164
30.68,30.7617244720459
30.6,31.074951171875
30.610001,31.042909622192383
30.610001,31.021011352539062
30.74,31.07890510559082
31.25,31.190147399902344
30.93,31.698352813720703
30.690001,31.3800106048584
31.17,31.2432804107666
31.26,31.66900062561035
31.24,31.793540954589844
30.969999,31.73806381225586
30.91,31.4554500579834
31.32,31.481077194213867
31.24,31.825641632080078
31.379999,31.780080795288086
31.870001,31.930286407470703
32.0,32.318729400634766
32.200001,32.49559020996094
32.009998,32.674774169921875
31.66,32.487548828125
31.92,32.200199127197266
31.969999,32.419063568115234
32.119999,32.4942741394043
32.139999,32.63414001464844
31.889999,32.5944709777832
31.879999,32.444984436035156
31.73,32.43995666503906
31.83,32.31080627441406
31.219999,32.4425048828125
31.27,31.740863800048828
31.25,31.909400939941406
31.540001,31.825117111206055
31.58,32.164581298828125
31.34,32.13969039916992
30.65,31.918798446655273
30.25,31.252235412597656
30.25,30.892717361450195
30.25,30.953754425048828
30.139999,30.86798095703125
30.77,30.749671936035156
30.709999,31.350276947021484
30.25,31.272165298461914
30.35,30.864246368408203
30.290001,30.976839065551758
30.549999,30.89752769470215
30.639999,31.101669311523438
30.690001,31.11865997314453
30.629999,31.2388858795166
30.459999,31.099321365356445
30.52,31.016878128051758
30.549999,31.11411476135254
30.74,31.06780433654785
30.950001,31.280702590942383
30.93,31.434045791625977
30.690001,31.443071365356445
30.540001,31.21693229675293
31.0,31.09772491455078
31.18,31.567726135253906
31.17,31.66779136657715
31.09,31.66983985900879
31.23,31.577213287353516
31.27,31.76581573486328
31.01,31.798452377319336
30.09,31.54759407043457
29.66,30.639179229736328
30.42,30.268661499023438
30.110001,31.0601806640625
30.82,30.695261001586914
30.4,31.428390502929688
30.6,30.881210327148438
31.440001,31.263500213623047
30.65,31.94242286682129
30.84,31.216875076293945
31.219999,31.408710479736328
31.469999,31.592639923095703
31.879999,32.05485153198242
31.610001,32.22541427612305
31.700001,32.092926025390625
31.940001,32.21809005737305
31.879999,32.34952926635742
31.48,32.46164321899414
31.549999,31.94646453857422
31.459999,32.05989074707031
31.99,32.00510025024414
31.889999,32.520591735839844
31.99,32.40565490722656
32.23,32.5430793762207
32.110001000000004,32.71907424926758
31.98,32.65968704223633
32.689999,32.540199279785156
32.75,33.18043518066406
32.459999,33.21937942504883
32.43,32.90358352661133
32.389999,32.93784713745117
32.419998,32.95277786254883
31.98,32.956260681152344
31.120001,32.51203536987305
31.23,31.731407165527344
31.42,31.85123634338379
31.93,32.058467864990234
31.709999,32.582271575927734
31.91,32.23712158203125
32.18,32.52695846557617
31.49,32.726165771484375
31.82,32.08615493774414
32.18,32.458560943603516
32.099998,32.65110778808594
31.879999,32.6261100769043
32.119999,32.323482513427734
31.950001,32.695220947265625
32.290001000000004,32.495296478271484
32.400002,32.81222915649414
32.16,32.94496154785156
31.200001,32.672264099121094
30.870001,31.70507049560547
31.23,31.54646873474121
30.610001,31.90239715576172
29.860001,31.203044891357422
29.870001,30.52345848083496
29.889999,30.545480728149414
30.09,30.61716651916504
30.25,30.782543182373047
30.860001,30.916881561279297
31.0,31.475889205932617
30.92,31.476491928100586
30.709999,31.490386962890625
30.75,31.26180076599121
32.040001000000004,31.27858543395996
31.76,32.50701141357422
31.280001,32.096717834472656
31.15,31.74540138244629
30.75,31.571935653686523
29.959999,31.376846313476562
29.43,30.542421340942383
29.02,30.058185577392578
29.17,29.71383285522461
29.030001,29.792631149291992
29.129999,29.734272003173828
29.200001,29.870500564575195
29.1,29.841218948364258
29.059999,29.771419525146484
29.120001,29.718223571777344
29.280001,29.723514556884766
29.25,29.856477737426758
29.57,29.743860244750977
29.66,30.099437713623047
29.49,30.136920928955078
29.610001,29.99358367919922
29.610001,30.122661590576172
29.6,30.11709213256836
29.629999,30.111679077148438
29.709999,30.111656188964844
29.59,30.236412048339844
29.639999,30.083526611328125
29.76,30.16914939880371
29.42,30.30201530456543
29.35,29.939699172973633
