Ground truth,Model Predictions
214.570007,95.14971160888672
213.210007,99.0330581665039
217.639999,97.57510375976562
218.800003,101.31487274169922
218.479996,100.82563018798828
216.5,102.1626205444336
216.419998,99.83839416503906
214.729996,100.4548568725586
214.449997,98.77796173095703
218.350006,98.5095443725586
222.660004,100.3683090209961
224.02999900000003,102.98868560791016
223.020004,103.75653076171875
220.570007,103.54796600341797
222.160004,102.49575805664062
220.070007,102.99525451660156
225.610001,101.41307830810547
225.619995,104.06363677978516
221.309998,103.97673034667969
228.350006,102.29877471923828
229.320007,105.41503143310547
229.52999900000003,106.79578399658203
227.059998,106.2583236694336
225.050003,104.63553619384766
225.050003,104.56410217285156
219.5,103.37630462646484
218.369995,100.54876708984375
215.360001,99.50171661376953
218.389999,97.94747161865234
216.00999500000003,99.89102935791016
216.929993,98.26971435546875
217.470001,99.65000915527344
226.169998,99.70494842529297
228.289993,105.15782165527344
226.00999500000003,105.79794311523438
223.039993,105.35021209716797
217.050003,103.40351867675781
220.00999500000003,100.70630645751953
237.320007,100.95606231689453
236.089996,109.67132568359375
233.300003,109.49030303955078
232.089996,108.22964477539062
230.809998,108.335205078125
234.970001,108.44196319580078
233.990005,108.10648345947266
236.559998,107.85382843017578
234.380005,109.17002868652344
234.059998,108.00126647949219
232.75,108.48836517333984
232.440002,107.00431060791016
233.190002,107.28340911865234
237.419998,106.97945404052734
241.550003,109.59690856933594
241.169998,111.75428009033203
240.350006,111.9174575805664
239.449997,111.58391571044922
243.100006,111.22802734375
241.199997,112.81250762939453
245.740005,111.27155303955078
243.919998,113.67393493652344
246.110001,112.63511657714844
247.119995,114.28900909423828
246.220001,114.06580352783203
248.270004,114.40142822265625
247.880005,114.49505615234375
246.220001,114.83519744873047
251.380005,113.6285400390625
259.140015,116.10814666748047
257.089996,120.52135467529297
255.669998,119.3550033569336
255.630005,118.62393951416016
260.23999,118.96968078613281
261.269989,121.17330169677734
258.0,120.62873077392578
258.75,119.2410659790039
261.679993,119.4653549194336
260.809998,121.31653594970703
257.470001,120.4435806274414
254.800003,118.37313079833984
252.460007,117.27005004882812
249.669998,115.93527221679688
256.589996,114.0095443725586
254.320007,117.56212615966797
252.00999500000003,116.69872283935547
250.600006,115.8193130493164
255.919998,115.04936981201172
260.470001,118.80921173095703
258.51001,120.12335205078125
259.059998,119.65806579589844
250.960007,119.9357681274414
244.990005,116.1407470703125
244.220001,112.40707397460938
242.360001,110.98690032958984
244.179993,110.31764221191406
243.940002,110.51375579833984
247.490005,111.27510070800781
244.850006,113.95542907714844
240.0,112.66881561279297
233.77999900000003,110.71916961669922
234.309998,106.86931610107422
228.490005,107.3285903930664
222.919998,103.42060852050781
238.240005,100.56096649169922
232.889999,108.6521224975586
232.139999,107.10591888427734
232.419998,106.54199981689453
234.330002,106.89994812011719
237.559998,109.8973159790039
232.059998,108.9676742553711
227.350006,107.31841278076172
226.309998,104.39604949951172
226.470001,103.72510528564453
226.600006,103.8731460571289
222.949997,103.11764526367188
220.600006,101.70294952392578
225.229996,100.85785675048828
229.710007,103.41109466552734
233.77999900000003,106.00728607177734
238.02999900000003,108.11190032958984
239.880005,110.77864837646484
243.619995,112.45955657958984
243.399994,114.12509155273438
247.110001,113.79537200927734
251.270004,115.41908264160156
252.050003,117.04935455322266
250.330002,117.60613250732422
252.490005,116.11054992675781
253.960007,117.48422241210938
253.369995,117.9056625366211
253.270004,117.19986724853516
247.770004,116.86664581298828
250.690002,114.23269653320312
251.75999500000003,115.41543579101562
251.25,115.75249481201172
249.190002,115.73197174072266
253.860001,114.13868713378906
260.399994,117.6041488647461
257.98999,120.67657470703125
261.5,119.64690399169922
256.920013,121.37161254882812
258.619995,119.45154571533203
248.630005,120.13712310791016
248.309998,113.6624984741211
245.179993,114.01245880126953
250.869995,111.0194091796875
257.309998,115.1460952758789
258.480011,117.47117614746094
259.149994,120.00141906738281
268.459991,120.04330444335938
266.380005,125.93173217773438
266.350006,124.62445068359375
265.339996,124.01360321044922
267.940002,123.0965805053711
272.730011,124.91453552246094
271.899994,125.88838958740234
268.929993,126.0838394165039
270.480011,124.22846984863281
272.119995,125.2509765625
270.190002,126.09308624267578
268.109985,124.4648208618164
273.459991,123.24811553955078
283.98999,126.3838882446289
276.040009,131.86709594726562
260.350006,127.78717803955078
272.76001,119.52318572998047
265.5,126.08412170410156
265.0,122.31146240234375
259.980011,120.36427307128906
266.890015,117.42049407958984
262.220001,124.0256118774414
260.230011,119.1068115234375
261.950012,119.92179107666016
257.209991,119.8682632446289
258.700012,118.80860137939453
269.470001,118.17364501953125
269.23999,124.51972198486328
265.089996,124.95106506347656
269.75,122.36375427246094
266.410004,125.4670639038086
265.940002,124.17147827148438
265.420013,122.5050277709961
259.869995,121.95110321044922
259.359985,119.73282623291016
263.25,118.2892074584961
264.269989,120.95304107666016
265.73999,121.548583984375
273.109985,122.13587188720703
275.589996,126.82953643798828
273.790009,128.56515502929688
273.880005,127.4134292602539
274.190002,127.37873077392578
271.23999,127.67757415771484
274.130005,125.21094512939453
275.100006,126.27491760253906
265.73999,126.9163589477539
261.820007,121.9997787475586
257.890015,119.46682739257812
256.410004,117.79124450683594
257.27999900000003,116.58487701416016
253.389999,116.31661987304688
257.75,115.4417953491211
256.019989,117.8309326171875
260.309998,117.5735855102539
265.299988,120.32942199707031
266.48999,122.55484771728516
261.609985,124.36054992675781
263.320007,120.95288848876953
259.02999900000003,122.42313385009766
259.079987,119.65726470947266
255.479996,119.13805389404297
258.950012,116.57635498046875
261.140015,119.17505645751953
264.769989,119.6379623413086
269.850006,122.55419158935547
272.869995,124.91606140136719
267.720001,127.50091552734375
272.339996,124.5055923461914
267.399994,126.8665771484375
259.420013,123.96286010742188
260.320007,119.22052764892578
263.549988,118.52043914794922
268.899994,121.27165222167969
268.77999900000003,123.1099624633789
274.700012,123.55602264404297
254.809998,127.83692169189453
249.740005,117.41411590576172
253.809998,114.50919342041016
248.229996,115.31241607666016
252.550003,113.13920593261719
258.049988,112.97566986083984
255.720001,118.57465362548828
257.730011,118.3032455444336
258.679993,118.68816375732422
260.160004,120.52546691894531
263.630005,120.921142578125
264.51001,121.91755676269531
268.329987,122.97943115234375
266.559998,124.61858367919922
264.119995,123.76293182373047
269.899994,122.52873992919922
267.630005,124.94700622558594
268.859985,124.01919555664062
262.959991,124.00769805908203
261.799988,120.87725067138672
261.73999,120.89832305908203
267.290009,119.6565170288086
265.52999900000003,123.28447723388672
266.829987,121.68409729003906
269.200012,123.30144500732422
266.880005,124.51512908935547
265.700012,123.9411849975586
267.170013,122.36798858642578
267.829987,123.46278381347656
276.869995,123.669189453125
281.070007,128.01449584960938
274.77999900000003,130.64764404296875
271.670013,127.81352233886719
275.790009,125.81187438964844
273.98999,128.35488891601562
278.059998,126.44929504394531
281.76001,127.72523498535156
278.160004,130.21023559570312
273.440002,129.05892944335938
273.359985,125.84942626953125
270.609985,126.33048248291016
272.089996,124.3498306274414
277.570007,124.42618560791016
277.549988,127.47206115722656
277.690002,128.20181274414062
282.100006,128.1788330078125
283.730011,131.06484985351562
284.0299990000001,132.16387939453125
285.880005,131.68344116210938
290.589996,132.67779541015625
291.5299990000001,135.3126220703125
292.329987,135.37603759765625
299.660004,135.74951171875
307.549988,139.53994750976562
306.570007,143.8111572265625
306.869995,142.99285888671875
308.690002,143.13067626953125
304.109985,144.23019409179688
305.230011,141.35153198242188
303.480011,140.73764038085938
301.059998,139.823486328125
298.940002,138.47927856445312
303.399994,136.67568969726562
312.01001,139.81143188476562
306.100006,144.02645874023438
302.410004,141.42294311523438
301.220001,139.61477661132812
305.570007,139.2720947265625
304.209991,141.58151245117188
300.98999,139.37759399414062
300.75,138.403564453125
296.910004,138.2449951171875
295.73999,136.75921630859375
297.26001,135.48403930664062
296.690002,136.24221801757812
293.970001,136.3587646484375
291.339996,134.67523193359375
286.470001,133.78646850585938
284.820007,131.3648681640625
285.570007,130.166015625
287.089996,130.45034790039062
284.570007,131.4923095703125
289.730011,130.23562622070312
290.01001,133.57742309570312
286.209991,134.0548095703125
280.929993,132.30221557617188
281.579987,128.97921752929688
283.980011,129.892822265625
280.980011,130.295166015625
288.799988,128.68948364257812
293.640015,132.86627197265625
294.100006,136.22531127929688
295.859985,136.89187622070312
299.709991,137.33169555664062
300.359985,140.349609375
299.640015,139.833984375
298.859985,139.01959228515625
297.920013,138.50848388671875
296.059998,137.84091186523438
304.170013,136.33578491210938
312.0299990000001,140.46163940429688
312.059998,144.67660522460938
316.339996,145.07388305664062
311.48999,147.35272216796875
314.130005,145.63076782226562
312.649994,146.36737060546875
318.119995,144.424560546875
316.01001,147.6767578125
312.640015,145.36865234375
320.950012,144.6954345703125
320.51001,148.19854736328125
314.76001,148.87982177734375
319.040009,145.02810668945312
310.0299990000001,147.1630859375
303.230011,143.35806274414062
298.230011,138.379638671875
305.170013,135.2298583984375
310.890015,139.90005493164062
310.700012,141.64706420898438
306.399994,143.00155639648438
310.48999,141.13943481445312
310.769989,144.45687866210938
328.929993,144.12213134765625
326.440002,153.10855102539062
